	001_V2	010_V2	015_V2	017_V2	024_V2	028_V2	034_V2	040_V2	042_V2	043_V2
ENSG00000107036	43.29480667	38.18562946	34.63621609	29.90063706	37.59033739	39.6735795	25.21912974	39.87337882	43.72318887	44.01595826
ENSG00000107077	15.16802062	11.78757193	13.40431641	9.608592518	15.81180858	12.58402237	10.79351341	10.38123472	13.22530859	12.37435963
ENSG00000107099	20.67467158	27.23730213	39.5074589	36.25207957	44.61780787	43.44125087	43.4481746	47.77727344	41.49241393	49.33332235
ENSG00000107104	172.157034	292.8200717	190.0792538	237.9022364	200.6475416	241.470058	207.2011923	275.0633973	186.3653123	225.3971554
ENSG00000107105	0.197843747	0.267032374	0.033594778	0.1628575	0.397781348	0.150706855	0	0.157291435	0.509891415	0.164116175
ENSG00000107130	3.264421828	2.059964027	1.746928455	4.755439009	2.386688088	2.260602821	2.946800486	1.808851505	10.77145615	3.938788211
ENSG00000107140	52.56048883	109.1017985	83.2814546	73.57901864	58.97108484	121.1306345	53.72771118	75.57853461	66.44522507	82.41914332
ENSG00000107147	0.857322904	0.267032374	0.839869449	0.423429501	0.265187565	0.301413709	0.137060488	0.432551447	1.083519258	1.115989993
ENSG00000107164	74.05950935	72.32762583	65.34184316	47.84753359	70.87137684	61.07395287	49.92428265	62.60199121	73.01007705	73.29428397
ENSG00000107165	0.065947916	0.19073741	0.201568668	0.325715001	0.331484457	0	0.137060488	0.629165741	0.350550348	0.262585881
ENSG00000107175	37.52436405	47.4173201	33.59477797	39.18351457	43.65650294	45.77720712	47.42292875	38.81166163	42.41659212	39.91305388
ENSG00000107185	22.71905697	28.00025177	29.79856806	22.63719254	20.41944253	24.18845018	13.19207194	21.50960376	29.95612066	30.82101775
ENSG00000107186	93.77793616	73.92982008	178.5898397	94.48992168	64.47372682	64.76627081	59.21013069	140.7758345	99.55629886	105.3625847
ENSG00000107201	23.93909341	17.85302157	21.76941613	18.89147004	22.80613062	18.57461984	14.56267682	18.52106649	22.18027657	20.94122399
ENSG00000107223	201.3389867	205.4623379	182.5540235	194.1261404	202.3049639	192.1512398	244.7215008	183.4411363	173.0443991	167.0702666
