	052_V2	054V_2	063_V2	070_V2	072_V2	078_V2	085_V2	092_V2	099_V2	100_V2
ENSG00000133114	26.148824	26.96219714	122.9393635	23.44961611	62.72145023	70.70218545	120.5671979	48.76946601	23.72629922	24.47909374
ENSG00000133116	12.43941565	17.20002231	32.68748821	14.76035707	34.05347848	35.09942382	30.92481041	27.45438115	14.11380835	12.36838421
ENSG00000133119	6.643038724	9.994607561	87.87773145	5.539876945	85.67553071	106.8418408	89.47754313	89.22673873	6.679374322	8.857566815
ENSG00000133121	46.17563191	60.46571551	13.35025834	48.0375631	13.66079754	8.85874559	67.05870403	11.69225529	45.41974539	48.86155948
ENSG00000133131	30.25187733	38.68344787	0.378486706	36.0471445	0.656769112	1.442901744	0.296719929	1.379617143	30.75416264	36.49317528
ENSG00000133134	0.162819577	0.199228058	458.485032	0.303554901	198.7383334	219.2203975	221.155254	269.9910749	0.174244548	0.096628002
ENSG00000133135	1.204864867	0.431660792	8.980457286	0.682998527	5.713891278	7.214508719	7.154247185	7.380951716	1.045467285	1.127326686
ENSG00000133136	3.516902854	4.781473384	869.3495548	3.908269352	714.4334404	886.9483464	741.4041967	710.3303766	3.165442613	1.964769366
ENSG00000133138	13.09069396	11.48881799	28.73058174	8.992813945	25.25277237	25.56956114	30.89184153	28.83399829	12.60368894	10.0815215
ENSG00000133142	58.58248365	65.24718889	16.10288893	62.30464345	18.91495044	13.72434449	19.08898212	12.62349686	51.51830455	64.06436507
ENSG00000133169	0.293075238	0.431660792	9.221312463	0.151777451	7.782713981	8.489631191	8.374095783	7.587894287	0.174244548	0.128837335
ENSG00000133193	18.23579258	18.36218598	42.52814255	19.08601441	47.9441452	48.05198366	48.00269079	46.2171743	18.17951446	18.00501763
ENSG00000133195	22.04577067	29.08729642	28.07683198	24.58794699	21.54202689	44.9984009	34.45248068	31.11036658	22.59370966	24.47909374
ENSG00000133216	14.62119798	22.64558922	0.275263059	13.811748	0.361223012	0.67111709	0.197813286	0.413885143	16.98884338	26.57270044
ENSG00000133226	60.37349899	73.7807907	0.137631529	55.05727019	0.492576834	0.335558545	0.362657691	0.724299	54.13197276	62.93703839
ENSG00000133243	72.71522289	98.85032129	3.750459173	100.6284497	4.170483863	3.959590832	3.593608033	3.345571572	87.70308892	83.61543073
ENSG00000133246	2.442293648	3.48649101	10.97611446	6.18493111	11.16507491	13.92567962	14.04474332	10.65754243	3.368727919	7.375937457
ENSG00000133247	11.00660338	16.13747267	73.66727605	14.00146981	64.36337301	67.48082342	63.26728271	59.9788553	12.40040363	10.85454551
ENSG00000133250	9.736610679	13.54750792	0.275263059	13.92558109	0.131353822	0.268446836	0.230782167	0.034490429	9.786735419	11.82082553
ENSG00000133256	1.04204529	1.42780108	19.06196681	1.669551956	17.30586611	19.56306318	18.5944489	18.52136015	0.784100464	1.41721069
ENSG00000133265	21.88295109	25.83323815	25.18656986	23.14606121	23.77504187	23.72398914	23.50681218	18.79728358	17.01788414	21.48362569
ENSG00000133275	62.68553698	64.01861587	24.49841221	78.08949831	13.26673607	17.04637409	36.06795585	18.69381229	55.96154051	62.51831705
ENSG00000133302	4.754331636	6.541321227	72.49740805	4.856878417	63.37821934	60.09853542	72.72935157	70.22251259	4.907888088	4.57372541
ENSG00000133313	87.79231568	95.43023963	95.20661039	118.3864114	93.65527542	72.71553672	90.86223613	85.05339687	91.76879503	98.52835231
ENSG00000133315	16.64016073	13.7135313	5.608484819	15.97457667	5.910922011	2.952915197	2.967199293	3.931908858	11.41301786	12.14291887
ENSG00000133316	12.43941565	16.40311008	13.31585046	16.27813157	14.41608202	12.95255984	11.50613948	13.86515229	11.76150696	14.20431624
ENSG00000133317	251.5562458	168.2480947	11.4922327	256.0485591	11.16507491	11.64388151	12.19848598	11.62327443	184.8444242	150.9007292
ENSG00000133318	498.6512352	299.5725894	1.617170469	425.8875262	1.116507491	0.704672945	1.087973074	1.138184143	394.4896556	343.0294057
ENSG00000133321	8.303798405	15.60619785	21.78018951	15.97457667	19.99861947	23.22065132	18.62741779	21.90142215	16.00145761	11.75640686
ENSG00000133392	140.1225276	30.18305074	64.99648971	34.03609328	51.62205223	56.03827703	66.20151312	65.91120901	22.0128945	155.8931759
ENSG00000133393	39.46746536	34.20081657	4.920327172	39.57597023	5.516860544	5.469604285	6.461900683	5.966844144	32.4385266	28.31200447
ENSG00000133398	27.6467641	33.23788096	97.37430697	28.64799379	91.48793735	87.71500368	92.44474242	94.0209083	28.31473897	27.98991113
ENSG00000133401	516.9521556	162.9021418	12.38683764	315.3935422	11.42778256	13.55656522	9.000504523	12.27859257	394.199248	457.2114943
ENSG00000133422	28.20035066	29.55216189	15.31150763	38.20997317	13.10254379	12.65055715	13.05567689	14.86537472	27.93720912	28.69851648
ENSG00000133424	13.80710009	33.66954175	226.025379	19.92079038	207.9002625	176.0340128	133.6228748	212.1851166	17.0469249	18.39152964
ENSG00000133433	0.48845873	0.498070144	347.2787563	1.024497791	386.7384918	373.2753256	302.7202657	399.6061055	0.609855916	0.805233347
ENSG00000133454	0.976917459	1.859461872	17.1351254	0.682998527	15.59826642	11.8787725	15.42943632	11.62327443	1.190671075	0.450930674
ENSG00000133460	17.06349162	15.80542591	0.550526117	15.86074358	0.295546101	0	0.230782167	0.206942571	11.3839771	12.75489621
ENSG00000133466	6.25227174	18.22936728	84.57457475	8.878980857	22.69137283	20.03284514	16.12178283	11.31286057	10.077143	9.115241486
ENSG00000133477	4.135617245	5.013906118	34.99281632	5.008655868	34.38186303	40.77036323	32.24356565	31.83466558	9.844816935	3.285352055
ENSG00000133561	91.96049684	101.340672	33.13479068	93.11546591	27.81417191	32.11295276	29.80386846	32.28304115	108.5253123	74.91891059
ENSG00000133574	61.57836386	54.72130651	232.9757712	68.83107382	236.3383651	292.5063837	390.2196759	457.3430829	68.30386263	49.66679283
ENSG00000133597	20.67808622	17.93052519	29.04025268	21.66623107	30.86814828	27.11313044	28.02354888	32.48998372	17.36637324	22.70758038
ENSG00000133606	61.35041645	81.749913	23.56939939	76.5717238	18.75075816	17.78460289	18.66038667	18.90075486	69.69781901	67.7040198
ENSG00000133612	61.70861952	60.03405472	1.754801998	77.44444414	0.558253746	0.939563926	0.560470978	1.552069286	63.27981151	70.44181318
ENSG00000133619	8.499181897	10.12742627	0.206447294	14.45680216	0.295546101	1.006675635	0.362657691	0.827770286	8.596064344	9.340706823
ENSG00000133624	19.44065744	26.69655973	13.6255214	22.53895141	14.90865885	15.43569307	14.67115206	12.41655429	21.4611201	21.35478836
ENSG00000133627	3.875105922	5.545180939	17.16953328	4.17387989	10.2127597	10.93920857	14.30849437	8.795059287	5.140214152	3.9939574
ENSG00000133639	184.3443246	241.1323592	4.335393173	240.3395929	4.728737609	5.469604285	5.769554181	4.656207858	223.3234284	218.7657957
ENSG00000133641	13.22094962	14.01237339	84.12727228	11.53508624	99.0736206	78.99048151	111.1051291	86.57097573	11.87766999	11.85303486
ENSG00000133657	154.1250112	110.5051627	65.61583159	135.9925957	64.26485764	51.40756911	69.26761906	47.76924358	162.1345515	183.2066911
ENSG00000133661	1.172300951	0.53127482	22.02104469	2.807882835	19.04630426	17.41548849	16.45147164	21.28059443	1.945730781	0.128837335
ENSG00000133678	28.13522283	23.77454822	83.81760134	27.88910654	69.28914135	65.76947484	68.27855263	68.11859644	29.8829399	26.1539791
ENSG00000133687	164.3175167	90.44953819	66.47602865	134.247155	63.04983479	50.73645202	68.90496136	74.77524916	158.9400681	120.2696527
ENSG00000133703	20.80834189	28.12436081	10.28795681	21.36267616	10.01572896	8.623854609	8.637846831	10.34712857	22.10001678	28.27979514
ENSG00000133704	40.15130758	48.21318996	24.9113068	46.97512094	26.50063368	25.26755844	22.84743456	24.55718515	40.39569427	50.63307285
ENSG00000133706	86.81539823	99.51441481	4.782695643	82.75665491	4.26899923	5.368936721	3.758452438	4.449265287	86.68666239	81.6828707
ENSG00000133710	0.716406137	0.332046763	240.9583999	2.73199411	251.4112162	270.2924081	198.6375082	232.8793738	0.087122274	2.834421381
ENSG00000133731	16.96579988	18.09654857	13.28144258	15.32952251	12.54429005	16.30814529	12.95677025	11.79572657	15.50776473	13.9788509
ENSG00000133739	10.4204529	15.40696979	111.0686441	9.220480121	149.841873	162.8130061	130.0622357	173.7627792	12.89409652	11.56315086
ENSG00000133740	4.624075974	7.703484897	0.309670941	5.160433319	0.098515367	1.107343199	0.230782167	0.241433	5.633907036	3.897329399
ENSG00000133773	15.20734845	17.10040828	25.7026881	14.19119163	24.30045716	27.5158007	24.89150518	25.48842672	14.46229744	13.72117623
ENSG00000133789	66.39782332	71.48966803	96.44529415	69.21051745	131.7807224	160.9003224	154.6570209	123.5792056	62.55379256	72.11669854
ENSG00000133794	25.82318484	31.57764714	31.24235715	20.30023401	23.28246503	29.96537808	26.57291811	26.69559172	28.25665746	25.05886175
ENSG00000133800	105.6047774	403.2043841	45.86570714	168.7385806	48.66659123	50.971343	52.98099182	49.18335115	96.96709069	251.0717575
ENSG00000133805	16.3796494	16.104268	79.13812934	23.94289282	99.33632824	94.42617459	96.49991479	96.64218088	16.11762065	25.18769909
ENSG00000133808	0.162819577	0.26563741	1.823617763	0.341499264	1.674761237	1.308678326	0.461564335	0.034490429	0.261366821	0.644186677
ENSG00000133812	60.76426597	63.91900184	18.92433528	52.28733171	14.02202055	19.02616951	17.50647583	15.03782686	64.76089016	69.7976265
ENSG00000133816	19.11501829	15.77222123	15.82762587	15.86074358	10.70533653	12.51633373	13.9128678	8.829549716	15.88529458	24.73676841
ENSG00000133818	34.81082547	21.84867699	8.326707522	25.3847786	7.618521703	7.751402391	6.36299404	5.414997287	27.03694562	30.30898317
ENSG00000133835	199.7796204	168.3145041	16.24052046	199.2458482	14.77730503	17.38193264	13.78099227	14.727413	174.070303	196.8634486
ENSG00000133858	49.98561001	55.98308421	83.54233828	44.66051482	75.95534784	77.11135366	75.7954575	79.43145702	50.09530741	48.53946615
ENSG00000133872	192.257356	198.5639642	23.9478861	206.4552771	26.33644141	25.6702287	12.26442375	25.17801286	184.147446	206.3007835
ENSG00000133874	3.582030684	5.379157558	228.1930756	5.388099494	81.57072375	149.692667	201.1101743	113.3700387	4.32707293	4.41267874
ENSG00000133884	31.2613587	38.7830619	18.99315104	35.66770088	14.02202055	12.2478869	13.02270801	18.48686972	31.36401855	29.92247117
ENSG00000133895	22.89243247	30.54830218	0.344078823	31.45587663	0.394061467	0.201335127	0.461564335	0.103471286	20.21236751	21.12932302
ENSG00000133935	16.44477723	21.64944894	60.21379406	21.09706563	62.72145023	60.40053812	75.30092429	71.25722544	18.52800355	14.75187491
ENSG00000133937	5.307918196	6.474911875	18.54584857	4.89482278	13.43092835	13.48945351	12.8578636	15.24476943	3.601053982	4.348260073
ENSG00000133943	63.66245444	47.54909643	21.81459739	59.49676061	22.23163445	35.80409676	19.78132862	21.76346043	55.87441824	55.27121692
ENSG00000133958	0.911789629	0.664093526	161.3729681	0.986553429	207.0136242	199.8586695	198.142975	176.2115996	0.522733643	0.57976801
ENSG00000133961	88.37846616	93.77000582	61.52129359	95.80951566	59.3390893	57.64895805	62.04743411	55.59857087	91.97208033	112.3139472
ENSG00000133962	0.162819577	0.26563741	195.7464425	0.455332352	163.3384782	181.5371729	179.317744	166.7957126	0.087122274	0.225465337
ENSG00000133983	3.256391531	3.021625542	5.539669054	2.88377156	3.907776219	3.154250324	5.110176561	5.621939858	2.555586697	3.220933387
ENSG00000133985	1.693323596	2.722783455	35.6121582	2.352550483	31.5905943	35.7034292	35.77123592	38.07743315	1.655323201	1.803722697
ENSG00000133997	6.968677877	11.0571572	28.28327927	8.689259044	24.82587245	23.48909816	22.45180799	28.86848872	7.434434027	8.857566815
